Count Sheet Description,On Hand,Count Price,BEK Item #,BEK Name,BEK Brand,BEK Pack/Size,List Price,Match Score
Appetizer Egg Roll Boudin With Cheese Par Fried Frozen,0.80,$68.56,155453,Egg Roll Boudin W/ppr Jack Chs,Frenchys Sausage Company Inc,100 / 2.8 OZ,$69.55,35.0
Appetizer Egg Roll southwest style,1.70,$79.34,171854,Egg Roll Chicken Sw Style,Vip,100 / 3 OZ,$79.34,42.0
Appetizer Potato Ring Frozen,0.00,$8.67,NO MATCH,,,,,23.3
Bacon 18-22 Single Sliced Double Smoked Gas Flushed Gold Right To Freezer - Shipped Ref/Immediately Fz,2.00,$54.06,530572,Bacon Layout 18/22,Smithfield,1 / 15 LB,$49.81,35.0
Bag Fry Paper 4.875X4 White Plain,2.75,$17.81,NO MATCH,,,,,28.0
Bag Foil Insulated Rib,0.90,$152.69,NO MATCH,,,,,17.5
Bag Sandwich Paper Dry Wax 6X.75X6.50 White Plain,6.00,$28.79,NO MATCH,,,,,23.3
Bean Baked Original Bacon Brown Sugar,3.00,$8.43,190557,Bean Baked Original,Bush's Best,6 / #10 CAN,$51.75,80
Bean Lima Baby Individually Quick Frozen,0.80,$34.98,334153,Bean Baby Lima,Markon First Crop,1 / 20 LB,$35.91,70.0
Beans Black Low Sodium All Natural Grade A,5.00,$5.90,650058,Bean Black Low Sodium,Bush's Best,6 / #10 CAN,$38.66,35.0
Beans Refried Vegetarian With Vegetable Oil,0.00,$9.17,NO MATCH,,,,,14.0
Beef Ground Patty 3-1 75/25 Au Jus Frozen,0.25,$84.52,NO MATCH,,,,,30.0
Beef Ground Patty 4-1 Breaded Country Steak Frozen,1.25,$59.59,NO MATCH,,,,,30.0
Beef Philly Steak Sirloin Puck Frozen,0.79,$84.59,188915,Beef Sandwich Steak Philly,Philly,40 / 4 OZ,$55.08,42.0
Beef Steak Fritter Chopped Frozen Formed Breaded With Black Pepper,0.95,$64.04,188849,Beef Steak Fritter Raw Breaded,Chefs Exclusive,40 / 4 OZ,$66.23,35.0
"Beef Strip For Fajita 1/2"" Fully Cooked Frozen",2.50,$52.08,106944,Chicken Fajita Strip Cooked,Gran Sabor,2 / 5 LB,$46.20,35.0
Beef Taco Filling Gluten Free Fully Cooked Frozen,0.00,$15.09,NO MATCH,,,,,14.0
Bologna Chicken Pork Beef Slices For Biscuit Approximate 20 Count Per Pack Frozen,0.00,$7.22,NO MATCH,,,,,20.0
"Bread Texas Toast White 3/4"" 20 Slice Frozen",11.00,$2.58,189661,Bread Texas Toast White,Fresh From Keith's,10 / 24 OZ,$26.36,80
"Bread White Pullman 32 Ounce 1/2"" 30 Slice Baked Frozen",0.00,$3.49,NO MATCH,,,,,20.0
Breader Fish Fry Seasoned,1.00,$29.39,NO MATCH,,,,,28.0
Breader Shrimp Fry,2.80,$55.38,693334,Breading Shrimp Fry,Louisiana Fish Fry Products,1 / 50 LB,$56.64,46.7
Broccoli Floret Premium Grade A Individually Quick Frozen,0.00,$37.75,NO MATCH,,,,,17.5
Broth Chicken,11.00,$3.91,025513,Chicken With Dumplings,St Clair,4 / 5 LB,$56.70,35.0
Brownie Chocolate Chip 24 Slice Tray Thaw & Serve Frozen,1.00,$24.50,414312,Brownie Chocolate Chip,David's Cookies,48 / 4 OZ,$47.36,80
Brussel Sprouts Individually Quick Frozen,0.00,$5.31,NO MATCH,,,,,23.3
"Bun Plain 5"" Frozen",0.00,$32.28,394690,Bun Hamburger 5 In Sliced,European Bakers,64 / 3.5 OZ,$32.28,46.7
"Bun Hot Dog 6"" Hinged Slice Baked Frozen",0.00,$3.08,189664,Bun Hot Dog 6 In Frozen,Fresh From Keith's,8 / 12 CT,$25.45,46.7
Burrito Beef And Bean Red Chile Frozen,0.75,$59.89,385084,Burrito Beef & Bean,Fernando's,72 / 4 OZ,$61.25,42.0
Butter Blend Butter Block,59.00,$1.55,NO MATCH,,,,,23.3
Cabbage Chopped 1X1 Fresh,2.00,$4.97,NO MATCH,,,,,23.3
Carrots,0.50,$21.78,012324,Carrots Sliced Smooth Bulk Iqf,Frost Sweet,1 / 20 LB,$24.55,80
Cake COCONUT CLOUD CAKE,0.00,$38.44,NO MATCH,,,,,17.5
Cartfish,1.00,$94.75,NO MATCH,,,,,0
Casserole Broccoli Cheese Rice Frozen,3.00,$12.33,372064,Casserole Broccoli Rice Cheese,St Clair,4 / 4.75 LB,$50.81,70.0
Casserole Hashbrown Ready To Bake Frozen,3.00,$15.36,143885,Casserole Hashbrown,Savannah Foods,4 / 4.5 LB,$61.43,80
Casserole Potato Baked Frozen,2.00,$11.80,372098,Casserole Potato Baked,St Clair,4 / 4.75 LB,$49.78,80
Casserole Sweet Potato Dutch Crust Frozen,0.00,$13.41,372131,Casserole Sweet Potato,St Clair,4 / 4.75 LB,$54.86,80
Cheese American Yellow .5 Ounce 160 Slice Easy Peel Refrigerated,0.50,$13.83,NO MATCH,,,,,23.3
Cheese Cheddar Mild Fancy Shredded Refrigerated,0.75,$14.98,016063,Cheese Cheddar Mild Shrd,Schreiber,4 / 5 LB,$61.21,42.0
Cheese Cheddar Yellow Mild Feather Shredded Refrigerated,0.00,$10.98,016063,Cheese Cheddar Mild Shrd,Schreiber,4 / 5 LB,$61.21,35.0
Cheese Mozzarella Whole Milk Original Feather Shredded Refrigerated,0.00,$13.75,NO MATCH,,,,,20.0
Cheese Swiss Sliced 192 Refrigerated,7.00,$6.09,NO MATCH,,,,,28.0
Cheesecake Cinnamon Churro Frozen,0.00,$47.50,NO MATCH,,,,,23.3
Chicken 8 Pieces Cut 3-3.5 Pound Marinated Trimmed Refrigerated,1.30,$103.04,NO MATCH,,,,,17.5
CHICKEN PATTY GRILLED,0.60,$64.46,138142,Chicken Patty Breaded Raw,Tyson Red Label,2 / 5 LB,$24.66,35.0
Chicken Breast Patty Fritter Homestyle Ready To Cook Average 3.2 Ounce Red Label Frozen,1.00,$20.53,NO MATCH,,,,,15.6
Chicken patty Spicy,0.00,$14.55,138142,Chicken Patty Breaded Raw,Tyson Red Label,2 / 5 LB,$24.66,35.0
Chicken Breast Strip Fajita Flame Broiled Fully Cooked Frozen,2.00,$23.10,151017,Chicken Breast Flame Grilled,Brakebush,40 / 4 OZ,$64.81,35.0
Chicken Breast Tenderloin Jumbo Random Marinated Refrigerated,2.20,$90.16,550108,Chicken Breast Random Blsl,Koch Foods,4 / 10 LB,$71.21,35.0
Chicken patty,1.20,$41.60,138142,Chicken Patty Breaded Raw,Tyson Red Label,2 / 5 LB,$24.66,80
Chip Tortilla Corn Yellow 1/4 Cut,1.10,$28.27,130838,Tortilla Chip Corn Yel 4 Cut,La Banderita,1 / 30 LB,$28.27,46.7
Churro Fries With Cinnamon Sugar Packet Frozen,0.00,$46.00,NO MATCH,,,,,14.0
Cinnamon Ground,5.00,$17.18,774060,Cinnamon Ground,Spice Classics,1 / 18 OZ,$7.61,100
Cobbler Apple Frozen,0.00,$10.00,416047,Cobbler Apple,Good Old Days,4 / 6 LB,$40.91,80
Cobbler Cherry Frozen,0.00,$11.39,416072,Cobbler Cherry,Good Old Days,4 / 5 LB,$46.59,80
cobbler blackberry,0.00,$15.48,416047,Cobbler Apple,Good Old Days,4 / 6 LB,$40.91,35.0
Cobbler Peach Frozen,2.00,$10.87,416094,Cobbler Peach,Good Old Days,4 / 5 LB,$44.60,80
Cobbler pecan,2.00,$16.98,416043,Cobbler Pecan,Good Old Days,4 / 5 LB,$69.06,100
Cone Cake #30 Dispenser Pack,7.00,$11.79,NO MATCH,,,,,28.0
Cone Waffle Classic Jacketed Regular Sleeve,0.00,$19.14,NO MATCH,,,,,23.3
Cone Waffle Large Bulk,6.00,$5.50,553241,Cone Wafe Large Classic,Joy Cone,14 / 16 ct,$73.59,35.0
Container Foam Sandwich,6.00,$6.58,NO MATCH,,,,,23.3
Container Foam 1 Compartment 9X6x3 Large Hinged White,3.00,$11.65,NO MATCH,,,,,10.0
Container Foam 12 Ounce Squat White Fits 20Jl,19.00,$2.99,NO MATCH,,,,,30.0
Container Foam 16 Ounce Squat,12.00,$1.67,NO MATCH,,,,,28.0
Container Foam 3 Compartment 9X9x3 Large Hinged White,4.50,$10.30,NO MATCH,,,,,10.0
Container Foam 4 Ounce Squat White Plain Lid-Rfs#79356,20.80,$1.39,NO MATCH,,,,,23.3
Container Foam 6 Ounce Squat White 12 Series Lid,24.00,$2.36,NO MATCH,,,,,26.2
Container Foam 8 Ounce Squat White,13.00,$2.86,870020,Cont Foam 8 Oz Extra Squat,Dart,20 / 50 CT,$62.38,42.0
Container Hot Cold Paper 8Oz Ice Cream,14.00,$4.27,NO MATCH,,,,,10.0
Container Paper 12Oz Ice Cream,0.75,$5.01,NO MATCH,,,,,14.0
9 in Container,0.40,$48.16,NO MATCH,,,,,14.0
